Id,Label,timeset,description,url,cluster,weight<links>,weight<total_link_strength>,weight<citations>,weight<norm._citations>,score<pub._year>,score<citations>,score<norm._citations>
1,abbott (2000),,"<table><tr><td>Authors:</td><td>abbott, mr; moore, jk; nelson, dm; richman, jg</td></tr><tr><td>Title:</td><td>the southern ocean at the last glacial maximum: a strong sink for atmospheric carbon dioxide</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 14(1), 455-475</td></tr><tr><td>Year:</td><td>2000</td></tr></table>",http://dx.doi.org/10.1029/1999gb900051,3,58,194,94,0.665,2000,94,0.665
2,schlitzer (2002),,"<table><tr><td>Authors:</td><td>schlitzer, r</td></tr><tr><td>Title:</td><td>carbon export fluxes in the southern ocean: results from inverse modeling and comparison with satellite-based estimates</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 49(9-10), 1623-1644</td></tr><tr><td>Year:</td><td>2002</td></tr></table>",http://dx.doi.org/10.1016/s0967-0645(02)00004-8,3,37,72,185,3.7655,2002,185,3.7655
3,lal (2005),,"<table><tr><td>Authors:</td><td>lal, r; lorenz, k</td></tr><tr><td>Title:</td><td>the depth distribution of soil organic carbon in relation to land use and management and the potential of carbon sequestration in subsoil horizons</td></tr><tr><td>Source:</td><td>advances in agronomy, vol 88, 88, 35-66</td></tr><tr><td>Year:</td><td>2005</td></tr></table>",http://dx.doi.org/10.1016/s0065-2113(05)88002-2,2,47,105,172,2.7676,2005,172,2.7676
4,mollersten (2003),,"<table><tr><td>Authors:</td><td>mollersten, k; westermark, m; yan, j</td></tr><tr><td>Title:</td><td>potential and cost-effectiveness of co2 reductions through energy measures in swedish pulp and paper mills</td></tr><tr><td>Source:</td><td>energy, 28(7), 691-710</td></tr><tr><td>Year:</td><td>2003</td></tr></table>",http://dx.doi.org/10.1016/s0360-5442(03)00002-1,5,7,15,58,0.9831,2003,58,0.9831
5,broecker (1991),,"<table><tr><td>Authors:</td><td>broecker, ws; peng, th</td></tr><tr><td>Title:</td><td>factors limiting the reduction of atmospheric co2 by iron fertilization</td></tr><tr><td>Source:</td><td>limnology and oceanography, 36(8), 1919-1927</td></tr><tr><td>Year:</td><td>1991</td></tr></table>",http://dx.doi.org/10.4319/lo.1991.36.8.1919,4,42,87,27,1.2359,1991,27,1.2359
6,assmy (2005),,"<table><tr><td>Authors:</td><td>assmy, p; bakker, dce; barber, rt; boyd, pw; boye, m; bozec, y; brzezinski, ma; buesseler, ko; coale, kh; croot, pl; de baar, hjw; gervais, f; gorbunov, my; harrison, pj; hiscock, wt; laan, p; lancelot, c; landry, mr; law, cs; levasseur, m; marchetti, a; millero, fj; nishioka, j; nojiri, y; riebesell, u; rijkenberg, mja; saito, h; takeda, s; timmermans, kr; tsuda, a; van oijen, t; veldhuis, mjw; waite, am; wong, cs</td></tr><tr><td>Title:</td><td>synthesis of iron fertilization experiments: from the iron age in the age of enlightenment</td></tr><tr><td>Source:</td><td>journal of geophysical research-oceans, 110(c9)</td></tr><tr><td>Year:</td><td>2005</td></tr></table>",http://dx.doi.org/10.1029/2004jc002601,3,59,502,366,5.8892,2005,366,5.8892
7,fujii (2005),,"<table><tr><td>Authors:</td><td>fujii, m; yamanaka, y; yoshie, n</td></tr><tr><td>Title:</td><td>ecosystem changes after the seeds iron fertilization in the western north pacific simulated by a one-dimensional ecosystem model</td></tr><tr><td>Source:</td><td>progress in oceanography, 64(2-4), 283-306</td></tr><tr><td>Year:</td><td>2005</td></tr></table>",http://dx.doi.org/10.1016/j.pocean.2005.02.014,3,49,168,15,0.2414,2005,15,0.2414
8,harvey (2003),,"<table><tr><td>Authors:</td><td>harvey, ldd</td></tr><tr><td>Title:</td><td>impact of deep-ocean carbon sequestration on atmospheric co2 and on surface-water chemistry</td></tr><tr><td>Source:</td><td>geophysical research letters, 30(5)</td></tr><tr><td>Year:</td><td>2003</td></tr></table>",http://dx.doi.org/10.1029/2002gl016224,4,6,19,6,0.1017,2003,6,0.1017
9,archer (2005),,"<table><tr><td>Authors:</td><td>archer, d; zeebe, re</td></tr><tr><td>Title:</td><td>feasibility of ocean fertilization and its impact on future atmospheric co2 levels</td></tr><tr><td>Source:</td><td>geophysical research letters, 32(9)</td></tr><tr><td>Year:</td><td>2005</td></tr></table>",http://dx.doi.org/10.1029/2005gl022449,3,61,156,39,0.6275,2005,39,0.6275
12,bakker (2005),,"<table><tr><td>Authors:</td><td>bakker, dce; bozec, y; de baar, hjw; goldson, l; liddicoat, m; messias, mj; nightingale, pd; skjelvan, i; strass, v; watson, aj</td></tr><tr><td>Title:</td><td>iron and mixing affect biological carbon uptake in soiree and eisenex, two southern ocean iron fertilisation experiments</td></tr><tr><td>Source:</td><td>deep-sea research part i-oceanographic research papers, 52(6), 1001-1019</td></tr><tr><td>Year:</td><td>2005</td></tr></table>",http://dx.doi.org/10.1016/j.dsr.2004.11.015,3,52,191,25,0.4023,2005,25,0.4023
15,nilsson (1997),,"<table><tr><td>Authors:</td><td>nilsson, s; roshkov, v; shvidenko, a</td></tr><tr><td>Title:</td><td>possibilities for increased carbon sequestration through the implementation of rational forest management in russia</td></tr><tr><td>Source:</td><td>water air and soil pollution, 94(1-2), 137-162</td></tr><tr><td>Year:</td><td>1997</td></tr></table>",http://dx.doi.org/10.1023/a:1026494514131,1,30,48,21,0.5676,1997,21,0.5676
16,fox (2004),,"<table><tr><td>Authors:</td><td>fox, g; mckenney, dw; ramlal, e; yemshanov, d</td></tr><tr><td>Title:</td><td>cost estimates for carbon sequestration from fast growing poplar plantations in canada</td></tr><tr><td>Source:</td><td>forest policy and economics, 6(3-4), 345-358</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",http://dx.doi.org/10.1016/j.forpol.2004.03.010,1,12,35,49,0.4185,2004,49,0.4185
17,ceulemans (2004),,"<table><tr><td>Authors:</td><td>ceulemans, r; deckmyn, g; muys, b; quijano, jg</td></tr><tr><td>Title:</td><td>carbon sequestration following afforestation of agricultural soils: comparing oak/beech forest to short-rotation poplar coppice combining a process and a carbon accounting model</td></tr><tr><td>Source:</td><td>global change biology, 10(9), 1482-1491</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",http://dx.doi.org/10.1111/j.1365-2486.2004.00832.x,2,13,14,35,0.2989,2004,35,0.2989
18,aide (2004),,"<table><tr><td>Authors:</td><td>aide, tm; grau, hr; thomlinson, jr; zimmerman, jk</td></tr><tr><td>Title:</td><td>trends and scenarios of the carbon budget in postagricultural puerto rico (1936-2060)</td></tr><tr><td>Source:</td><td>global change biology, 10(7), 1163-1179</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",http://dx.doi.org/10.1111/j.1529-8817.2003.00792.x,1,30,59,19,0.1623,2004,19,0.1623
19,eggers (2003),,"<table><tr><td>Authors:</td><td>eggers, t; kaipainen, t; karjalainen, t; lapvetelainen, t; liski, j; nabuurs, gj; pussinen, a</td></tr><tr><td>Title:</td><td>scenario analysis of the impacts of forest management and climate change on the european forest sector carbon budget</td></tr><tr><td>Source:</td><td>forest policy and economics, 5(2), 141-155</td></tr><tr><td>Year:</td><td>2003</td></tr></table>",http://dx.doi.org/10.1016/s1389-9341(03)00021-2,1,30,48,65,1.1017,2003,65,1.1017
21,khouma (2004),,"<table><tr><td>Authors:</td><td>khouma, m; sene, m; tschakert, p</td></tr><tr><td>Title:</td><td>biophysical potential for soil carbon sequestration in agricultural systems of the old peanut basin of senegal</td></tr><tr><td>Source:</td><td>journal of arid environments, 59(3), 511-533</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",http://dx.doi.org/10.1016/j.jaridenv.2004.03.026,2,13,18,20,0.1708,2004,20,0.1708
22,chen (2001),,"<table><tr><td>Authors:</td><td>chen, ap; fang, jy</td></tr><tr><td>Title:</td><td>dynamic forest biomass carbon pools in china and their significance</td></tr><tr><td>Source:</td><td>acta botanica sinica, 43(9), 967-973</td></tr><tr><td>Year:</td><td>2001</td></tr></table>",,1,58,130,58,1.0779,2001,58,1.0779
26,mosnaim (2001),,"<table><tr><td>Authors:</td><td>mosnaim, a</td></tr><tr><td>Title:</td><td>estimating co2 abatement and sequestration potentials for chile</td></tr><tr><td>Source:</td><td>energy policy, 29(8), 631-640</td></tr><tr><td>Year:</td><td>2001</td></tr></table>",http://dx.doi.org/10.1016/s0301-4215(00)00160-9,2,5,5,4,0.0743,2001,4,0.0743
27,aono (2005),,"<table><tr><td>Authors:</td><td>aono, t; imai, k; kudo, i; nojiri, y; tsuda, a; yamada, m</td></tr><tr><td>Title:</td><td>export fluxes of particulate organic carbon estimated from th-234/u-238 disequilibrium during the subarctic pacific iron experiment for ecosystem dynamics study (seeds 2001)</td></tr><tr><td>Source:</td><td>progress in oceanography, 64(2-4), 263-282</td></tr><tr><td>Year:</td><td>2005</td></tr></table>",http://dx.doi.org/10.1016/j.pocean.2005.02.013,3,53,168,6,0.0965,2005,6,0.0965
28,boyd (2001),,"<table><tr><td>Authors:</td><td>boyd, pw; gall, mp; maldonado, m; strzepek, r</td></tr><tr><td>Title:</td><td>phytoplankton processes. part 2. rates of primary production and factors controlling algal growth during the southern ocean iron release experiment (soiree)</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 48(11-12), 2571-2590</td></tr><tr><td>Year:</td><td>2001</td></tr></table>",http://dx.doi.org/10.1016/s0967-0645(01)00009-1,3,55,390,68,1.2638,2001,68,1.2638
29,brzezinski (2005),,"<table><tr><td>Authors:</td><td>brzezinski, ma; demarest, ms; jones, jl</td></tr><tr><td>Title:</td><td>control of silica production by iron and silicic acid during the southern ocean iron experiment (sofex)</td></tr><tr><td>Source:</td><td>limnology and oceanography, 50(3), 810-824</td></tr><tr><td>Year:</td><td>2005</td></tr></table>",,3,58,195,31,0.4988,2005,31,0.4988
31,dixon (1992),,"<table><tr><td>Authors:</td><td>dixon, rk; schroeder, pe; winjum, jk</td></tr><tr><td>Title:</td><td>estimating the global potential of forest and agroforest management-practices to sequester carbon</td></tr><tr><td>Source:</td><td>water air and soil pollution, 64(1-2), 213-227</td></tr><tr><td>Year:</td><td>1992</td></tr></table>",http://dx.doi.org/10.1007/bf00477103,1,27,55,79,4.4597,1992,79,4.4597
32,brindley (1999),,"<table><tr><td>Authors:</td><td>brindley, j; pitchford, jw</td></tr><tr><td>Title:</td><td>iron limitation, grazing pressure and oceanic high nutrient-low chlorophyll (hnlc) regions</td></tr><tr><td>Source:</td><td>journal of plankton research, 21(3), 525-547</td></tr><tr><td>Year:</td><td>1999</td></tr></table>",http://dx.doi.org/10.1093/plankt/21.3.525,3,47,148,37,0.9506,1999,37,0.9506
