Id,Label,timeset,description,url,cluster,weight<links>,weight<total_link_strength>,weight<citations>,weight<norm._citations>,score<pub._year>,score<citations>,score<norm._citations>,grain for green,beijing-tianjin sandstorm source control,stimulated
11,nilsson (1997),,"<table><tr><td>Authors:</td><td>nilsson, s; roshkov, v; shvidenko, a</td></tr><tr><td>Title:</td><td>possibilities for increased carbon sequestration through the implementation of rational forest management in russia</td></tr><tr><td>Source:</td><td>water air and soil pollution, 94(1-2), 137-162</td></tr><tr><td>Year:</td><td>1997</td></tr></table>",http://dx.doi.org/10.1023/a:1026494514131,1,58,78,21,0.5676,1997,21,0.5676,,,
12,glendining (1997),,"<table><tr><td>Authors:</td><td>glendining, mj; powlson, ds; smith, ju; smith, p</td></tr><tr><td>Title:</td><td>potential for carbon sequestration in european soils: preliminary estimates for five scenarios using results from long-term experiments</td></tr><tr><td>Source:</td><td>global change biology, 3(1), 67-79</td></tr><tr><td>Year:</td><td>1997</td></tr></table>",http://dx.doi.org/10.1046/j.1365-2486.1997.00055.x,3,45,79,221,5.973,1997,221,5.973,,,
13,brunnert (1996),,"<table><tr><td>Authors:</td><td>brunnert, h</td></tr><tr><td>Title:</td><td>the significance of agriculture and forestry for the global carbon cycle. how can they contribute to sequester increasing amounts of co2 in the atmosphere</td></tr><tr><td>Source:</td><td>berichte uber landwirtschaft, 74(1), 44-65</td></tr><tr><td>Year:</td><td>1996</td></tr></table>",,1,153,212,3,0.7826,1996,3,0.7826,,,
14,dodson (1996),,"<table><tr><td>Authors:</td><td>dodson, r; lee, jj</td></tr><tr><td>Title:</td><td>potential carbon sequestration by afforestation of pasture in the south-central united states</td></tr><tr><td>Source:</td><td>agronomy journal, 88(3), 381-384</td></tr><tr><td>Year:</td><td>1996</td></tr></table>",,1,34,43,11,2.8696,1996,11,2.8696,,,
15,andrasko (1996),,"<table><tr><td>Authors:</td><td>andrasko, ka; kolchugina, tp; vinson, ts</td></tr><tr><td>Title:</td><td>greenhouse gas mitigation options in the forest sector of russia: national and project level assessments</td></tr><tr><td>Source:</td><td>environmental management, 20, s111-s118</td></tr><tr><td>Year:</td><td>1996</td></tr></table>",http://dx.doi.org/10.1007/bf01204199,1,15,18,2,0.5217,1996,2,0.5217,,,
16,fillipchuk (1996),,"<table><tr><td>Authors:</td><td>fillipchuk, an; kokorin, ao; lelyakin, al; nazarov, im</td></tr><tr><td>Title:</td><td>calculation of co2 net sinks emissions in russian forests and assessment of mitigation options</td></tr><tr><td>Source:</td><td>environmental management, 20, s101-s109</td></tr><tr><td>Year:</td><td>1996</td></tr></table>",http://dx.doi.org/10.1007/bf01204198,1,48,52,7,1.8261,1996,7,1.8261,,,
18,christie (1995),,"<table><tr><td>Authors:</td><td>christie, si; scholes, rj</td></tr><tr><td>Title:</td><td>carbon storage in eucalyptus and pine plantations in south africa</td></tr><tr><td>Source:</td><td>environmental monitoring and assessment, 38(2-3), 231-241</td></tr><tr><td>Year:</td><td>1995</td></tr></table>",http://dx.doi.org/10.1007/bf00546765,1,47,59,12,0.4432,1995,12,0.4432,,,
19,unruh (1995),,"<table><tr><td>Authors:</td><td>unruh, jd</td></tr><tr><td>Title:</td><td>agroforestry, reforestry, and the carbon problem - the role of land and tree tenure</td></tr><tr><td>Source:</td><td>interdisciplinary science reviews, 20(3), 215-227</td></tr><tr><td>Year:</td><td>1995</td></tr></table>",,1,43,64,6,0.2216,1995,6,0.2216,,,
20,ketoff (1995),,"<table><tr><td>Authors:</td><td>ketoff, a; makundi, wr; sathaye, j</td></tr><tr><td>Title:</td><td>copath - a spreadsheet model for the estimation of carbon flows associated with the use of forest resources</td></tr><tr><td>Source:</td><td>biomass & bioenergy, 8(5), 369-380</td></tr><tr><td>Year:</td><td>1995</td></tr></table>",http://dx.doi.org/10.1016/0961-9534(95)00044-5,1,89,153,4,0.1477,1995,4,0.1477,,,
21,xu (1995),,"<table><tr><td>Authors:</td><td>xu, dy</td></tr><tr><td>Title:</td><td>the potential for reducing atmospheric carbon by large-scale afforestation in china and related cost/benefit analysis</td></tr><tr><td>Source:</td><td>biomass & bioenergy, 8(5), 337-344</td></tr><tr><td>Year:</td><td>1995</td></tr></table>",http://dx.doi.org/10.1016/0961-9534(95)00026-7,1,1,1,28,1.0341,1995,28,1.0341,,,
23,cullen (1995),,"<table><tr><td>Authors:</td><td>cullen, jj</td></tr><tr><td>Title:</td><td>status of the iron hypothesis after the open-ocean enrichment experiment</td></tr><tr><td>Source:</td><td>limnology and oceanography, 40(7), 1336-1343</td></tr><tr><td>Year:</td><td>1995</td></tr></table>",,4,95,257,76,2.8068,1995,76,2.8068,,,
24,kheshgi (1995),,"<table><tr><td>Authors:</td><td>kheshgi, hs</td></tr><tr><td>Title:</td><td>sequestering atmospheric carbon-dioxide by increasing ocean alkalinity</td></tr><tr><td>Source:</td><td>energy, 20(9), 915-922</td></tr><tr><td>Year:</td><td>1995</td></tr></table>",http://dx.doi.org/10.1016/0360-5442(95)00035-f,2,18,20,64,2.3636,1995,64,2.3636,,,
